unix,date,symbol,open,high,low,close,Volume BCH,Volume USD,just_date
1651535940,2022-05-02 23:59:00,BCH/USD,285.06,285.06,285.06,285.06,0.0,0.0,2022-05-02
1651535880,2022-05-02 23:58:00,BCH/USD,285.04,285.07,285.02,285.06,10.86898865,3098.313904569,2022-05-02
1651535820,2022-05-02 23:57:00,BCH/USD,284.98,284.98,284.98,284.98,5.17892569,1475.8902431362,2022-05-02
1651535760,2022-05-02 23:56:00,BCH/USD,284.99,284.99,284.98,284.98,10.20333798,2907.7472575404004,2022-05-02
1651535700,2022-05-02 23:55:00,BCH/USD,284.89,284.89,284.89,284.89,0.0,0.0,2022-05-02
1651535640,2022-05-02 23:54:00,BCH/USD,284.89,284.89,284.89,284.89,0.0,0.0,2022-05-02
1651535580,2022-05-02 23:53:00,BCH/USD,284.89,284.89,284.89,284.89,0.0,0.0,2022-05-02
1651535520,2022-05-02 23:52:00,BCH/USD,284.89,284.89,284.89,284.89,14.04926558,4002.4952710862,2022-05-02
1651535460,2022-05-02 23:51:00,BCH/USD,285.48,285.48,285.48,285.48,0.0,0.0,2022-05-02
1651535400,2022-05-02 23:50:00,BCH/USD,285.48,285.48,285.48,285.48,0.0,0.0,2022-05-02
1651535340,2022-05-02 23:49:00,BCH/USD,285.48,285.48,285.48,285.48,0.0,0.0,2022-05-02
1651535280,2022-05-02 23:48:00,BCH/USD,285.48,285.48,285.48,285.48,0.0,0.0,2022-05-02
1651535220,2022-05-02 23:47:00,BCH/USD,285.48,285.48,285.48,285.48,0.0,0.0,2022-05-02
1651535160,2022-05-02 23:46:00,BCH/USD,285.48,285.48,285.48,285.48,0.0,0.0,2022-05-02
1651535100,2022-05-02 23:45:00,BCH/USD,285.48,285.48,285.48,285.48,0.0,0.0,2022-05-02
1651535040,2022-05-02 23:44:00,BCH/USD,285.48,285.48,285.48,285.48,0.0,0.0,2022-05-02
1651534980,2022-05-02 23:43:00,BCH/USD,285.48,285.48,285.48,285.48,0.0,0.0,2022-05-02
1651534920,2022-05-02 23:42:00,BCH/USD,285.48,285.48,285.48,285.48,0.0,0.0,2022-05-02
1651534860,2022-05-02 23:41:00,BCH/USD,285.48,285.48,285.48,285.48,0.0,0.0,2022-05-02
1651534800,2022-05-02 23:40:00,BCH/USD,285.48,285.48,285.48,285.48,0.0,0.0,2022-05-02
1651534740,2022-05-02 23:39:00,BCH/USD,285.48,285.48,285.48,285.48,0.0,0.0,2022-05-02
1651534680,2022-05-02 23:38:00,BCH/USD,285.48,285.48,285.48,285.48,0.0,0.0,2022-05-02
1651534620,2022-05-02 23:37:00,BCH/USD,285.48,285.48,285.48,285.48,9.69e-06,0.0027663012,2022-05-02
1651534560,2022-05-02 23:36:00,BCH/USD,286.53,286.53,286.53,286.53,0.0,0.0,2022-05-02
